student_id,gender,department,scholarship,parental_education,extra_curricular,age,cgpa,attendance_rate,family_income,past_failures,study_hours_per_week,assignments_submitted,projects_completed,total_activities,sports_participation,dropout,,department,dropout,AVERAGE of study_hours_per_week,AVERAGE of attendance_rate
205631,Female,CIVIL,Y,Primary,-,24,4.081791516,75.89388944,32131,4,22.4,51,0,5,No,0,,,0,14.91013413,76.32679266
216897,Male,ME,nan,NA,nan,19,4.227551346,67.1693533,26360,6,5.9,10,3,3,Yes,1,,,1,15.60295082,70.51499166
205436,NA,ME,Y,NA,N,25,5.225224207,60.91433171,15732,6,15.1,36,4,6,No,1,, Total,,15.12663934,74.48812907
207353,FEMALE,ECE,nan,Postgraduate,-,26,4.471950342,74.58421769,42785,,17.3,3,1,2,Y,0,,ARTS,0,15.09403426,76.5630684
214784,M,COMMERCE,nan,NA,Yes,18,4.322311295,76.72998966,16049,2,24.9,35,3,8,No,0,,,1,14.87873377,70.4802265
203473,Male,BIO,N,nan,,25,4.26936751,71.57592822,68582,5,17.6,20,2,1,Y,1,,ARTS Total,,15.03659593,74.94988229
209656,,nan,N,NA,Y,26,6.013147412,89.2925569,75144,2,8.6,21,3,9,No,0,,BIO,0,15.0206057,76.51663002
207181,NA,COMMERCE,Nope,nan,N,,5.137650102,71.34438115,67847,4,21.7,56,3,9,No,0,,,1,15.4627907,70.65122501
202090,Male,,Nope,Graduate,N,17,4.305949523,73.13804473,84148,6,8.7,3,2,6,Yes,1,,BIO Total,,15.14306569,74.88830885
217123,Female,ME,N,Secondary,No,23,6.637109626,100,71972,3,19.4,35,1,6,No,0,,CIVIL,0,15.07944803,76.66332714
206206,FEMALE,BIO,N,Primary,No,24,5.687291466,68.88151229,30004,2,15.8,16,0,1,Yes,0,,,1,14.89680851,70.78916806
219859,Female,BIO,,Primary,,18,5.987094506,77.42381784,54711,4,14.4,36,0,9,No,1,,CIVIL Total,,15.02854723,75.06461718
203984,Other,ME,No,NA,Y,19,6.43857409,100,36262,3,21.5,50,1,2,Yes,0,,COMMERCE,0,15.25754885,76.55137077
205230,,ARTS,Yes,Graduate,-,19,5.214653293,88.16307243,64468,5,6.4,25,1,6,Yes,0,,,1,14.90294985,71.28314591
209948,FEMALE,ARTS,No,NA,-,25,4.49662505,68.21071033,75499,3,8.8,45,3,3,Yes,1,,COMMERCE Total,,15.15597803,75.05369284
201512,NA,ARTS,No,None,nan,18,6.105569749,77.26363554,63106,2,12.1,23,3,9,Yes,0,,CS,0,14.95948224,76.52791572
208527,Female,ME,N,Graduate,nan,25,4.765677632,68.79082524,27912,2,12.1,19,0,5,No,0,,,1,15.06481775,70.71654342
205314,M,CS,No,Secondary,nan,21,5.073740505,83.33862123,55795,2,23.8,33,0,2,No,0,,CS Total,,14.98848168,74.92631738
214313,,ARTS,Nope,Graduate,-,24,6.510641612,79.0921811,64197,3,5.3,30,1,1,nan,0,,ECE,0,15.17636801,76.52215989
206958,Female,CIVIL,Yes,NA,Y,26,4.481530134,67.61597451,24868,2,15.5,16,1,8,No,0,,,1,14.79957386,71.08920227
214400,,nan,Nope,Secondary,-,24,6.708242038,68.03706857,45804,3,5.3,4,4,0,Yes,0,,ECE Total,,15.0643008,74.91089861
211642,NA,CIVIL,,Graduate,Y,,5.807134957,75.06847704,61260,2,6,19,0,7,,0,,ME,0,14.7988162,76.90840194
209595,M,nan,Nope,,Y,17,6.455322923,65.5870359,56338,6,16.4,28,0,8,No,1,,,1,14.96635945,70.76350283
207752,M,ARTS,No,nan,N,23,5.1300157,76.6741304,40251,3,9.2,4,4,3,,0,,ME Total,,14.84716312,75.14164321
200341,Male,COMMERCE,nan,,,,6.475385329,92.8824964,85451,5,7.8,8,1,9,nan,0,,nan,0,15.12736077,76.49963366
216683,NA,COMMERCE,Yes,Postgraduate,nan,22,4.57283182,95.77392785,73686,6,23.2,14,2,6,Yes,0,,,1,14.95882353,70.677202
202202,NA,ME,nan,Secondary,-,21,6.661218348,68.67444282,51300,2,21.1,21,0,3,Yes,0,,nan Total,,15.07909287,74.85084701
216037,Female,ME,N,Secondary,No,21,4.126194345,67.87725388,74766,4,11.4,59,1,3,Yes,0,,Grand Total,,15.04812998,74.9485007
201788,Male,ME,Yes,Secondary,N,26,5.519937661,86.77561042,30169,5,24.7,12,2,7,No,1,,,,,
203335,Male,nan,No,Graduate,-,19,6.89301167,61.24438793,58251,6,9.1,55,2,5,N,0,,,,,
206733,M,CIVIL,No,None,-,,5.449803838,66.08958699,40690,6,9.5,20,2,8,No,0,,,,,
207087,Other,BIO,No,Secondary,N,23,6.627721984,65.86759826,54887,5,,8,1,6,No,1,,,,,
202177,M,COMMERCE,N,Primary,nan,23,5.986076378,70.42912972,43709,5,19.9,49,0,5,,0,,,,,
211368,Other,CS,N,Postgraduate,,23,5.202968611,68.54600898,18622,,7.2,41,1,7,Yes,0,,,,,
213651,Other,ME,Y,None,-,17,4.278439187,85.26888893,37196,3,10.6,4,0,4,No,0,,,,,
212495,Other,ECE,N,NA,Yes,26,6.514953048,57.74195207,60778,5,11.9,30,4,7,Yes,1,,,,,
212736,M,CIVIL,Nope,Postgraduate,nan,23,5.622436844,68.69067393,-16029,6,14.4,15,0,5,Yes,1,,,,,
205525,NA,BIO,No,NA,-,23,4.37398847,60.54405386,76612,2,9.3,4,2,4,No,1,,,,,
208358,Male,ARTS,Y,NA,-,17,6.210098087,90.82730369,40583,3,8,34,2,5,Yes,1,,,,,
200385,NA,ME,nan,,Y,21,5.376263386,72.39002071,55452,3,14.8,38,2,0,No,0,,,,,
205458,Other,BIO,nan,Secondary,nan,17,4.567097545,72.08232356,55493,3,7.9,32,4,4,Yes,0,,,,,
204391,Female,ECE,No,None,N,22,6.920039429,100,-10411,2,8.1,17,4,0,Yes,0,,,,,
219724,NA,,N,Primary,N,,6.684026181,85.48842833,15918,2,7.6,34,3,6,N,0,,,,,
213150,Male,nan,N,Secondary,Y,23,6.790012124,86.96689707,54987,5,6.2,20,0,5,nan,0,,,,,
214739,Other,BIO,No,Graduate,No,25,4.171005728,83.89966416,59444,4,12.8,14,4,8,No,1,,,,,
204322,Male,ECE,Y,Postgraduate,No,26,4.945652392,65.55490433,25849,2,20.1,26,4,2,Y,0,,,,,
207403,FEMALE,CS,N,Postgraduate,Yes,18,4.761247286,72.38083077,36723,2,18.5,26,0,2,Y,1,,,,,
217266,Other,COMMERCE,N,nan,Y,,5.466104638,88.86746082,24968,2,7.3,1,4,2,Yes,0,,,,,
217919,Other,CS,Nope,Primary,Y,24,6.028956535,90.23785716,56945,3,10.4,10,4,9,Yes,0,,,,,
218366,NA,ARTS,No,Graduate,-,24,6.390839257,75.99496428,58359,2,21.6,7,1,6,N,0,,,,,
206298,M,CIVIL,Yes,Postgraduate,No,20,4.335330365,65.7013469,21265,6,21,24,4,2,,0,,,,,
212774,Male,ME,nan,NA,No,16,4.700623052,59.30301334,15097,6,22.2,0,1,2,Y,1,,,,,
204774,M,COMMERCE,Yes,Secondary,Y,26,6.982753194,65.51181709,24225,6,17.1,23,2,4,No,0,,,,,
205857,FEMALE,ME,N,nan,No,24,6.677911529,57.40472388,29648,5,14.4,16,0,9,No,1,,,,,
218539,FEMALE,ME,Y,NA,-,19,6.537049119,84.92707295,15266,4,6.5,38,0,9,No,0,,,,,
204772,Other,ME,Nope,Graduate,No,17,4.704428554,,66227,4,15.2,2,4,9,Yes,0,,,,,
210752,M,ME,N,nan,No,,5.582933403,,32594,3,19.4,3,0,7,Yes,0,,,,,
203886,M,COMMERCE,No,None,Y,,6.960243589,81.49411218,63003,6,24.3,23,3,0,No,0,,,,,
202937,Other,ME,Y,Postgraduate,nan,23,5.952613082,88.13052384,87763,3,14.6,6,3,4,No,0,,,,,
213855,FEMALE,BIO,Y,nan,No,23,5.509995241,80.15846798,52895,5,20.7,57,1,0,No,1,,,,,
217874,Male,COMMERCE,Nope,None,N,18,,78.55011105,27113,6,19.8,27,2,3,NA,0,,,,,
214518,Female,ARTS,Y,Graduate,Yes,17,4.586764257,73.01074774,37099,5,13.5,42,0,3,No,0,,,,,
207486,NA,ARTS,nan,Graduate,-,24,6.731259638,80.64843588,56022,4,7.9,9,4,3,No,1,,,,,
215653,M,ARTS,Y,Secondary,No,22,4.660754381,81.71340043,81930,6,8.7,34,2,6,No,1,,,,,
208603,Other,COMMERCE,nan,Graduate,nan,18,4.721404046,87.39132763,12981,2,14.6,7,2,1,No,0,,,,,
215210,Male,nan,Y,nan,-,21,4.250031896,68.59903289,55649,4,8.5,47,4,5,No,0,,,,,
213188,M,,Y,Postgraduate,N,26,,66.24364456,29489,4,12,38,0,5,,1,,,,,
219085,NA,,No,Graduate,Y,26,4.916014103,90.45684705,32983,4,24.9,47,4,2,Yes,1,,,,,
216833,Other,nan,Yes,Postgraduate,No,19,6.523125005,45.26230488,65884,4,18,17,2,3,Y,1,,,,,
217953,NA,,nan,nan,No,19,5.315604934,77.78585646,33356,4,19.9,0,2,6,NA,0,,,,,
202753,,,N,Postgraduate,-,19,6.275329538,78.47622543,40505,5,17.1,32,1,4,,0,,,,,
209326,FEMALE,COMMERCE,Yes,None,Y,24,4.772035935,63.49007283,37161,5,12.1,45,2,3,Yes,1,,,,,
206846,Female,,Nope,Secondary,nan,25,6.925640788,84.81167743,80021,5,8.7,6,1,0,Yes,0,,,,,
219599,M,CIVIL,Nope,Graduate,N,22,5.832097541,60.87077168,43952,3,9.9,33,1,2,Yes,0,,,,,
207212,NA,,No,Primary,No,21,6.251251578,55.52120879,73308,5,17.9,37,3,8,No,1,,,,,
214644,Male,BIO,No,Secondary,N,25,4.397576487,100,35457,4,13.6,20,2,6,No,0,,,,,
203975,FEMALE,nan,Yes,Postgraduate,N,19,6.526786985,68.84560888,28805,,6.7,48,3,9,No,0,,,,,
207745,Male,ME,N,Graduate,nan,25,5.128902045,95.14405403,48409,3,8.3,1,3,7,No,0,,,,,
219329,Male,CIVIL,Nope,Secondary,,,5.124667585,92.37245296,69509,3,7.6,51,1,0,No,0,,,,,
203710,M,CIVIL,N,None,No,19,6.985223964,66.85187776,29673,6,15.4,35,0,4,No,0,,,,,
218095,,ARTS,nan,nan,No,26,5.073387867,78.33981171,41814,2,20.6,44,2,7,NA,0,,,,,
210633,FEMALE,nan,No,Postgraduate,Y,19,,74.27553916,45026,5,9.9,45,3,0,No,0,,,,,
217487,Other,,No,None,Y,25,5.474496689,75.72427145,35526,5,21.4,32,2,3,No,1,,,,,
216382,M,nan,No,Secondary,-,21,5.865521249,,74683,3,24.7,43,0,0,No,1,,,,,
209995,NA,,Yes,NA,Y,17,5.5229031,54.174323,70616,3,13.9,8,4,4,No,1,,,,,
219604,Male,BIO,Yes,nan,nan,20,6.853157047,97.49464433,31795,3,6.3,22,1,5,No,0,,,,,
210560,M,CS,No,None,Y,18,4.903891345,61.98512057,62372,5,7,56,3,2,nan,1,,,,,
215959,NA,BIO,N,Secondary,N,24,4.935491451,,48011,2,14.9,38,4,1,,0,,,,,
210928,M,BIO,N,Postgraduate,N,,4.849113528,80.23248538,10043,3,5.1,23,0,9,No,0,,,,,
218772,M,CIVIL,N,NA,-,21,5.535252246,70.15772025,65765,4,15.8,30,2,4,N,1,,,,,
215730,FEMALE,ECE,N,nan,Yes,19,6.287953873,71.83785536,49705,2,5.8,21,2,2,No,0,,,,,
212066,FEMALE,BIO,N,Graduate,No,18,6.913920476,68.09949752,42329,4,,24,2,1,No,0,,,,,
219450,Other,CIVIL,N,Graduate,N,21,6.643959794,95.4550517,33242,5,21.8,32,0,1,No,0,,,,,
217585,NA,ARTS,Nope,None,Yes,20,6.730297592,75.20312383,50044,5,,48,1,0,No,1,,,,,
205426,FEMALE,nan,No,None,nan,,4.915175342,86.23072549,73396,2,15.4,51,1,5,Yes,0,,,,,
209639,Other,CIVIL,Y,nan,-,18,5.71333908,67.69640756,37543,2,6.7,22,2,3,No,0,,,,,
206660,NA,BIO,Y,Postgraduate,Y,23,5.034232152,72.56523135,54051,5,23.3,31,4,7,No,0,,,,,
206534,NA,BIO,N,Graduate,nan,20,5.776314227,85.37402443,49976,4,13,43,3,1,No,0,,,,,
206547,Other,CIVIL,Yes,Graduate,Yes,22,4.868948029,73.01928138,55644,2,8.8,44,0,9,No,0,,,,,
215672,FEMALE,ARTS,Y,Primary,No,26,5.92018577,94.68248668,37320,4,22.4,11,0,2,No,0,,,,,
215427,NA,ECE,nan,NA,No,25,5.279146891,63.61906568,74581,,19.4,31,1,0,Yes,0,,,,,
209728,Other,CS,nan,,N,24,4.744531342,60.27514418,52296,5,18.7,27,3,7,No,0,,,,,
203142,NA,nan,Yes,Primary,Yes,23,5.334475455,64.24481214,32094,6,6.3,37,2,2,No,1,,,,,
201527,NA,ME,No,None,nan,22,4.203877628,96.08204567,67171,4,24.2,34,4,9,N,0,,,,,
210127,NA,nan,,nan,N,26,6.074431458,74.44296043,31930,2,12.7,48,0,6,Yes,0,,,,,
208865,NA,COMMERCE,Nope,,-,18,4.118177991,77.37774197,80570,3,,48,1,4,No,0,,,,,
218798,Female,CIVIL,No,None,No,16,6.706783304,72.27678926,37060,5,7.4,12,1,7,,1,,,,,
206867,Other,nan,N,NA,-,,5.087267027,91.56820968,59274,4,17.2,54,4,0,Yes,0,,,,,
204954,NA,ME,N,Graduate,Yes,17,5.534980119,71.62041055,36284,6,20.9,51,0,3,No,1,,,,,
216235,Female,BIO,Y,NA,No,22,5.314623378,71.24411474,41898,2,9.3,33,4,4,No,0,,,,,
208642,Female,ME,nan,nan,Y,20,4.457290899,85.96064729,37812,6,21.2,32,1,9,No,0,,,,,
219533,Other,ARTS,Y,Graduate,No,16,6.825243025,68.90318533,20117,3,12.3,53,1,7,No,0,,,,,
219962,Female,,Yes,Primary,N,24,6.097243392,86.50298734,80353,5,22.7,39,1,7,No,0,,,,,
219938,Female,ECE,Nope,Postgraduate,No,22,4.247314581,100,58613,5,21.8,47,1,8,NA,0,,,,,
200385,NA,ME,nan,,Y,21,5.376263386,72.39002071,55452,3,14.8,38,2,0,No,0,,,,,
213291,,nan,nan,nan,No,23,4.556744917,100,46916,5,24.4,19,1,2,No,0,,,,,
208485,FEMALE,COMMERCE,Y,nan,-,19,6.308878087,55.51204866,64750,,8.1,42,0,9,Y,0,,,,,
215005,Male,nan,No,NA,Yes,21,4.307053967,67.00695155,34925,3,13.5,30,2,9,No,0,,,,,
207913,M,CIVIL,Nope,Postgraduate,Yes,24,4.620640958,80.77138014,46145,4,16.1,2,0,9,Yes,0,,,,,
205915,FEMALE,ME,N,Secondary,Yes,19,4.695441352,62.34387402,40448,2,13.4,21,4,6,No,0,,,,,
219169,Male,BIO,Nope,Primary,nan,25,5.114097286,78.16542495,42663,4,23.5,10,2,3,No,1,,,,,
205554,Other,ECE,Nope,nan,Yes,19,4.639419285,78.8012948,80212,5,22.2,43,1,1,No,1,,,,,
208477,M,nan,N,Primary,Yes,19,5.581523909,56.78748219,65031,3,9.8,29,3,4,No,0,,,,,
210069,M,COMMERCE,nan,,No,18,6.075542825,61.06461768,43545,6,13.3,5,2,4,nan,0,,,,,
213719,NA,CIVIL,No,Secondary,No,24,4.605929744,79.78632767,23901,5,11.5,34,3,0,,1,,,,,
204874,FEMALE,COMMERCE,Yes,NA,No,19,4.443175782,71.32684872,38104,4,16.6,25,4,8,N,0,,,,,
212326,Female,CIVIL,,Postgraduate,Yes,16,6.78907526,58.30551498,47627,6,21.6,9,4,0,No,1,,,,,
200290,Male,BIO,No,None,N,22,4.665751883,53.33655745,25902,6,20.2,36,0,6,Yes,1,,,,,
218041,NA,CIVIL,N,Secondary,Y,23,4.119075609,83.62401724,43761,6,8.4,17,0,0,No,0,,,,,
207199,Female,CS,No,NA,-,19,6.701206932,78.56145799,8039,2,7.2,17,1,8,N,0,,,,,
215709,FEMALE,ECE,Nope,Secondary,N,22,6.31123598,46.12414696,70722,6,13.4,52,4,1,Yes,1,,,,,
214971,Male,CIVIL,No,None,No,18,,92.68632634,68018,4,9,1,0,8,N,1,,,,,
218883,Male,CIVIL,Nope,NA,,16,6.196100945,69.00993728,67378,2,18.7,59,3,7,No,0,,,,,
206896,Female,CS,N,nan,No,20,,78.05849968,43907,6,23.2,45,4,3,Yes,1,,,,,
210034,NA,CIVIL,Y,Primary,N,26,6.94632593,78.43445993,62987,5,24.4,43,0,3,Yes,0,,,,,
204024,Female,ECE,nan,None,Yes,18,4.990778812,83.51382303,13536,5,19.4,36,0,6,No,0,,,,,
218821,Other,,Yes,Postgraduate,N,16,5.282099391,63.02020707,74735,3,14.6,10,1,9,NA,0,,,,,
215262,Female,CIVIL,Nope,nan,,21,4.459276313,,71943,3,17,28,1,0,Yes,0,,,,,
200812,Other,CIVIL,,Secondary,-,20,6.170938124,51.08418967,44489,4,8.1,24,4,1,No,1,,,,,
209514,Female,,No,Secondary,-,25,4.698555383,77.38195414,26003,5,15,14,4,6,Yes,1,,,,,
204688,,CIVIL,No,Postgraduate,No,20,4.360789635,75.89828514,45578,4,14.9,51,1,6,No,1,,,,,
202405,Male,BIO,N,Graduate,Yes,,5.467979028,68.47469247,493140,6,17.8,18,3,9,Yes,1,,,,,
207061,FEMALE,BIO,Yes,Secondary,N,21,,83.62957622,60363,3,9,58,1,0,No,0,,,,,
214674,Female,CS,nan,nan,-,20,5.544095616,81.47455863,30462,6,20.1,26,0,2,Y,1,,,,,
212692,Female,ECE,nan,Primary,Y,17,5.167948305,61.31787698,64625,6,19.6,28,1,4,No,0,,,,,
209626,Female,BIO,Nope,Graduate,Y,23,5.193422951,98.44749727,50550,3,20.7,22,2,2,No,0,,,,,
210101,Female,BIO,No,Postgraduate,Y,23,6.813838677,64.97442928,91812,,7.2,22,4,7,Yes,1,,,,,
215296,FEMALE,ME,No,Primary,-,26,4.437928758,83.83124508,34598,3,6.4,6,3,1,No,0,,,,,
214263,FEMALE,nan,,NA,No,23,4.786191608,70.70832971,60043,3,17.7,24,1,6,Y,1,,,,,
202485,Female,COMMERCE,No,Graduate,No,26,6.7126436,82.30210159,60068,5,8.8,19,4,3,No,0,,,,,
213196,M,BIO,No,NA,No,21,6.427683012,80.88135778,45903,2,9.1,24,0,5,No,0,,,,,
213152,M,ARTS,nan,NA,nan,19,6.196470527,77.74795719,44101,6,19.6,33,1,4,No,0,,,,,
215825,NA,CS,N,Postgraduate,N,19,5.946512307,64.67799553,38899,6,13.7,58,4,5,Yes,0,,,,,
213960,Other,CIVIL,,Postgraduate,Y,20,5.132884114,,42297,,19.9,8,1,9,No,1,,,,,
216781,Female,,Nope,Secondary,Yes,16,5.73489903,68.8125253,85728,3,23.4,11,4,2,N,0,,,,,
207442,Male,ECE,No,Secondary,No,20,5.369158766,70.70831921,59167,4,9.3,1,3,1,Yes,0,,,,,
209805,NA,ARTS,Y,,Yes,16,5.038144792,64.88886815,43722,2,10.3,31,2,1,Yes,0,,,,,
206137,Other,ME,Nope,Graduate,N,17,6.805773682,75.6732002,99944,2,16.6,9,0,9,,1,,,,,
204903,Male,COMMERCE,N,nan,-,20,5.537343999,81.53935783,50273,4,13.3,46,1,8,Yes,0,,,,,
208931,Male,CIVIL,No,nan,nan,25,6.656336846,92.31822101,77895,2,9.4,21,2,8,No,1,,,,,
201201,Male,CIVIL,Y,Graduate,nan,22,6.621692697,75.83903539,65008,6,6.5,21,1,6,Y,1,,,,,
217335,Male,BIO,No,None,Y,21,4.509091858,69.15333032,52643,4,21.7,52,4,0,nan,1,,,,,
206178,FEMALE,CIVIL,Nope,NA,N,22,4.683361642,56.80326216,66760,6,14.9,27,3,2,No,1,,,,,
216657,Female,CS,Nope,NA,,23,4.432759848,55.18017593,45662,4,20.2,12,2,7,No,1,,,,,
209675,Male,ME,Nope,nan,nan,22,4.439165242,75.08979704,57266,5,8.2,23,1,2,No,1,,,,,
211887,Male,BIO,N,Secondary,Yes,20,4.300812081,72.8830532,49938,6,15.2,48,1,8,No,0,,,,,
219427,FEMALE,CS,Yes,None,Y,23,4.905815182,65.02610874,62027,5,11.4,5,2,1,No,1,,,,,
202898,FEMALE,ME,Y,Primary,-,17,6.12529529,84.97103727,19140,4,19.7,53,2,6,No,0,,,,,
213280,NA,ARTS,Y,Postgraduate,Yes,21,,93.12014243,79164,4,24.6,11,3,3,No,0,,,,,
217723,M,ARTS,N,None,-,,4.042152581,82.03652185,61052,3,10.4,35,1,5,No,0,,,,,
217141,FEMALE,CS,Y,Secondary,N,,4.282484563,75.37346694,61378,6,19.1,34,2,2,NA,1,,,,,
206381,FEMALE,ME,Nope,Primary,N,22,6.138198236,65.8227271,29005,4,15.2,28,0,2,Yes,0,,,,,
217190,Male,,Nope,,N,20,6.760779625,73.11547591,74342,4,13.6,8,1,5,No,0,,,,,
219200,FEMALE,nan,nan,Graduate,-,25,,54.0930745,49573,6,13.2,24,1,6,Yes,1,,,,,
216655,Male,CS,nan,nan,-,18,4.709308457,70.19963541,46896,4,10,32,3,6,,0,,,,,
203572,Female,nan,Y,None,nan,20,4.319835992,55.91736695,59794,3,12.9,40,4,5,Yes,0,,,,,
215437,Male,BIO,Yes,None,Yes,26,6.69984045,82.49608379,73618,5,6.1,21,3,3,No,0,,,,,
213112,,CIVIL,nan,nan,N,25,6.594843587,100,46152,6,12.8,1,3,4,Yes,0,,,,,
204639,NA,CS,Yes,Graduate,Y,20,6.021830187,70.9281863,61723,6,14.8,54,1,7,N,0,,,,,
208703,M,ECE,No,None,Y,25,4.353673096,93.94637315,31541,4,12.1,47,2,3,Yes,0,,,,,
217012,Other,CIVIL,Yes,NA,Yes,17,4.543434605,83.74555544,55578,3,10.7,22,2,2,Y,0,,,,,
204191,Other,ARTS,Nope,Secondary,nan,25,4.887796053,84.28687921,55820,6,19.6,59,2,9,nan,0,,,,,
