age,cgpa,attendance_rate,family_income,past_failures,study_hours_per_week,assignments_submitted,projects_completed,total_activities,dropout,Unnamed: 17,department.1,dropout.1,AVERAGE of study_hours_per_week,AVERAGE of attendance_rate,gender_male,gender_other,department_BIO,department_CIVIL,department_COMMERCE,department_CS,department_ECE,department_ME,scholarship_yes,parental_education_Postgraduate,parental_education_Primary,parental_education_Secondary,extra_curricular_yes,sports_participation_yes
24.0,4.081791516,75.89388944,32131.0,4.0,22.4,51,0,5,0,, Total,0.0,14.91013413,76.32679266,False,False,False,True,False,False,False,False,True,False,True,False,False,False
19.0,4.227551346,67.1693533,26360.0,6.0,5.9,10,3,3,1,, Total,1.0,15.60295082,70.51499166,True,False,False,False,False,False,False,True,False,False,False,False,False,True
25.0,5.225224207,60.91433171,15732.0,6.0,15.1,36,4,6,1,, Total,0.5,15.12663934,74.48812907,True,False,False,False,False,False,False,True,True,False,False,False,False,False
26.0,4.471950342,74.58421769,42785.0,4.0,17.3,3,1,2,0,,ARTS,0.0,15.09403426,76.5630684,False,False,False,False,False,False,True,False,False,True,False,False,False,True
18.0,4.322311295,76.72998966,16049.0,2.0,24.9,35,3,8,0,, Total,1.0,14.87873377,70.4802265,True,False,False,False,True,False,False,False,False,False,False,False,True,False
25.0,4.26936751,71.57592822,68582.0,5.0,17.6,20,2,1,1,,ARTS Total,0.5,15.03659593,74.94988229,True,False,True,False,False,False,False,False,False,False,False,False,False,True
26.0,6.013147412,89.2925569,75144.0,2.0,8.6,21,3,9,0,,BIO,0.0,15.0206057,76.51663002,True,False,False,True,False,False,False,False,False,False,False,False,True,False
21.0,5.137650102,71.34438115,67847.0,4.0,21.7,56,3,9,0,, Total,1.0,15.4627907,70.65122501,True,False,False,False,True,False,False,False,False,False,False,False,False,False
17.0,4.305949523,73.13804473,84148.0,6.0,8.7,3,2,6,1,,BIO Total,0.5,15.14306569,74.88830885,True,False,False,True,False,False,False,False,False,False,False,False,False,True
23.0,6.637109626,100.0,71972.0,3.0,19.4,35,1,6,0,,CIVIL,0.0,15.07944803,76.66332714,False,False,False,False,False,False,False,True,False,False,False,True,False,False
24.0,5.687291466,68.88151229,30004.0,2.0,15.8,16,0,1,0,, Total,1.0,14.89680851,70.78916806,False,False,True,False,False,False,False,False,False,False,True,False,False,True
18.0,5.987094506,77.42381784,54711.0,4.0,14.4,36,0,9,1,,CIVIL Total,0.5,15.02854723,75.06461718,False,False,True,False,False,False,False,False,False,False,True,False,False,False
19.0,6.43857409,100.0,36262.0,3.0,21.5,50,1,2,0,,COMMERCE,0.0,15.25754885,76.55137077,False,True,False,False,False,False,False,True,False,False,False,False,True,True
19.0,5.214653293,88.16307243,64468.0,5.0,6.4,25,1,6,0,, Total,1.0,14.90294985,71.28314591,True,False,False,False,False,False,False,False,True,False,False,False,False,True
25.0,4.49662505,68.21071033,75499.0,3.0,8.8,45,3,3,1,,COMMERCE Total,0.5,15.15597803,75.05369284,False,False,False,False,False,False,False,False,False,False,False,False,False,True
18.0,6.105569749,77.26363554,63106.0,2.0,12.1,23,3,9,0,,CS,0.0,14.95948224,76.52791572,True,False,False,False,False,False,False,False,False,False,False,False,False,True
25.0,4.765677632,68.79082524,27912.0,2.0,12.1,19,0,5,0,, Total,1.0,15.06481775,70.71654342,False,False,False,False,False,False,False,True,False,False,False,False,False,False
21.0,5.073740505,83.33862123,55795.0,2.0,23.8,33,0,2,0,,CS Total,0.5,14.98848168,74.92631738,True,False,False,False,False,True,False,False,False,False,False,True,False,False
24.0,6.510641612,79.0921811,64197.0,3.0,5.3,30,1,1,0,,ECE,0.0,15.17636801,76.52215989,True,False,False,False,False,False,False,False,False,False,False,False,False,False
26.0,4.481530134,67.61597451,24868.0,2.0,15.5,16,1,8,0,, Total,1.0,14.79957386,71.08920227,False,False,False,True,False,False,False,False,True,False,False,False,True,False
24.0,6.708242038,68.03706857,45804.0,3.0,5.3,4,4,0,0,,ECE Total,0.5,15.0643008,74.91089861,True,False,False,True,False,False,False,False,False,False,False,True,False,True
21.0,5.807134957,75.06847704,61260.0,2.0,6.0,19,0,7,0,,ME,0.0,14.7988162,76.90840194,True,False,False,True,False,False,False,False,False,False,False,False,True,False
17.0,6.455322923,65.5870359,56338.0,6.0,16.4,28,0,8,1,, Total,1.0,14.96635945,70.76350283,True,False,False,True,False,False,False,False,False,False,False,False,True,False
23.0,5.1300157,76.6741304,40251.0,3.0,9.2,4,4,3,0,,ME Total,0.5,14.84716312,75.14164321,True,False,False,False,False,False,False,False,False,False,False,False,False,False
21.0,6.475385329,92.8824964,85451.0,5.0,7.8,8,1,9,0,, Total,0.0,15.12736077,76.49963366,True,False,False,False,True,False,False,False,False,False,False,False,False,False
22.0,4.57283182,95.77392785,73686.0,6.0,23.2,14,2,6,0,, Total,1.0,14.95882353,70.677202,True,False,False,False,True,False,False,False,True,True,False,False,False,True
21.0,6.661218348,68.67444282,51300.0,2.0,21.1,21,0,3,0,,nan Total,0.5,15.07909287,74.85084701,True,False,False,False,False,False,False,True,False,False,False,True,False,True
21.0,4.126194345,67.87725388,74766.0,4.0,11.4,59,1,3,0,,Grand Total,0.5,15.04812998,74.9485007,False,False,False,False,False,False,False,True,False,False,False,True,False,True
26.0,5.519937661,86.77561042,30169.0,5.0,24.7,12,2,7,1,, Total,0.5,15.042362955000002,74.93740904,True,False,False,False,False,False,False,True,True,False,False,True,False,False
19.0,6.89301167,61.24438793,58251.0,6.0,9.1,55,2,5,0,, Total,0.5,15.042362955000002,74.93740904,True,False,False,True,False,False,False,False,False,False,False,False,False,False
21.0,5.449803838,66.08958699,40690.0,6.0,9.5,20,2,8,0,, Total,0.5,15.042362955000002,74.93740904,True,False,False,True,False,False,False,False,False,False,False,False,False,False
23.0,6.627721984,65.86759826,54887.0,5.0,15.1,8,1,6,1,, Total,0.5,15.042362955000002,74.93740904,False,True,True,False,False,False,False,False,False,False,False,True,False,False
23.0,5.986076378,70.42912972,43709.0,5.0,19.9,49,0,5,0,, Total,0.5,15.042362955000002,74.93740904,True,False,False,False,True,False,False,False,False,False,True,False,False,False
23.0,5.202968611,68.54600898,18622.0,4.0,7.2,41,1,7,0,, Total,0.5,15.042362955000002,74.93740904,False,True,False,False,False,True,False,False,False,True,False,False,False,True
17.0,4.278439187,85.26888893,37196.0,3.0,10.6,4,0,4,0,, Total,0.5,15.042362955000002,74.93740904,False,True,False,False,False,False,False,True,True,False,False,False,False,False
